"bernie, aunt, uncle, real, stuart, welfare, cuban, invent, mentor, product, commercial, pose, estate, co, worker, deal, mace, grandma, money, dream"
"creator, play, rehearsal, context, commentary, archival, look, phenomenon, dozen, importance, hair, arrange, theme, creation, musical, politics, cultural, contemporary, producer, footage"
"russia, canada, island, line, poland, railway, ireland, degree, usa, van, channel, lake, germany, england, language, rural, park, west, north, half"
"et, une, il, qu, dans, sur, qui, trouble, pour, plus, creation, lui, par, reserve, est, franchise, quebec, vincent, au, centre"
"reflect, comic, sandman, society, evolve, beyond, modern, form, art, american, character, superheroes, stan, dc, probe, insider, extensive, page, spider, knight"
"brother, little, oasis, sister, marc, prayer, labor, francis, forty, founder, catholic, spiritual, family, animal, wood, everyday, st, nature, thousand, study"
"boy, band, style, harry, million, adore, factor, rapidly, solo, audition, uk, taylor, affection, direction, globe, eliminate, object, pop, competition, planet"
"nepal, people, disease, discrimination, stock, knowledge, christian, establish, population, affect, perspective, solve, normal, touch, shot, discovers, approach, brutal, term, effect"
"mute, jose, deaf, havana, bout, filming, cuba, pro, wife, obtain, entertain, wonder, doubt, mexican, paper, protagonist, mexico, love, gay, flee"
"dub, car, culture, cover, import, clad, grass, integrity, sustain, ditch, tune, sub, exotic, compose, girl, improve, joy, laugh, maintain, root"
"season, fan, creative, detail, line, final, story, include, enterprise, documentary, change, foundation, archival, voyage, content, embrace, element, staff, development, lay"
"turkey, dj, lifestyle, europe, life, accept, partner, society, woman, feel, steady, grass, creativity, hardly, dominate, ego, misfit, cope, alter, satisfy"
"fly, tribute, bay, ocean, flight, rise, business, orchestra, egypt, sydney, indonesia, spectacular, patrol, pioneer, pacific, archival, route, luxury, taylor, smith"
"jail, crime, manchester, brady, repent, ian, sympathy, suitable, spending, punishment, november, confess, brand, prisoner, britain, murderer, bury, sentence, serve, release"
"demon, dan, angel, secret, mason, brown, sequel, archive, commentary, rome, washington, narrate, da, historic, upcoming, tony, code, fiction, renowned, novel"
"border, slum, italy, italian, live, reality, called, data, rom, administration, earthquake, devastating, confine, city, ethnic, proper, residence, institute, civilization, basic"
"desert, director, identity, feel, dream, colombia, reflection, indigenous, understanding, shape, citizen, border, connection, ability, threat, sense, crazy, suddenly, national, crew"
"mile, barrier, limit, beyond, run, sub, break, sport, minute, consider, february, fascination, extra, holy, tribute, roger, october, patrick, irish, elusive"
"pole, march, ski, empathy, terrain, afghanistan, commitment, canadian, harsh, hardship, canada, country, extraordinary, north, serve, soul, reach, drive, body, attempt"
"cameraman, reading, devotion, reflection, recount, diary, endure, jewish, grandmother, africa, native, portrait, bond, story, intimate, north, role, modern, community, experience"
"wall, europe, power, move, dubious, frontier, text, begin, heavily, cinematic, seat, eastern, diverse, construction, narrative, own, european, landscape, frame, shadow"
"awake, easy, audience, movie, astonish, apply, recognition, crucial, divine, internationally, soundtrack, tool, transport, worth, spiritual, creative, transform, honest, happiness, humanity"
"city, american, citizen, urban, story, opportunity, investigation, unique, filmmaker, future, community, question, insecurity, innovation, metropolis, climate, lens, reform, breath, prompt"
"predator, tactic, killer, terrain, iconic, lion, meal, evolution, instinct, secure, card, fit, prime, territory, corner, africa, fuel, length, performance, east"
"edward, century, war, auction, graham, mature, jazz, entertaining, elusive, surreal, critic, andrew, reputation, torn, spanish, paint, remarkable, england, disturb, landscape"
"international, music, africa, african, traditional, tour, west, oh, stardom, standing, ghetto, enormous, poetry, unfolds, crowd, excitement, explosion, hip, genre, dynamic"
"medium, john, cia, film, shaw, emmy, labour, damn, murder, establishment, oliver, kennedy, orleans, construct, basis, commission, conspire, operative, weight, admit"
"revolution, jasmine, rise, result, fear, virtual, dictatorship, defy, perfectly, devotion, comment, resist, cry, despair, people, graduate, neither, nor, frame, youth"
"inside, street, safe, earth, art, arena, rope, racial, shame, cage, stretch, stray, gary, sacred, hatred, scream, mouth, unlike, riot, average"
"title, basketball, champion, junior, coach, national, world, team, stair, mature, modest, symbol, larry, deserve, incredibly, demonstrate, totally, conquer, dedicate, brown"
"world, gavin, head, sensation, response, content, online, burn, fly, india, video, investigate, famous, talk, free, artist, search, experience, journey, documentary"
"kate, hook, film, tender, delve, human, rico, documentary, pierce, perception, accomplish, sunday, follow, edit, display, opinion, example, variety, people, depict"
"story, human, bare, holocaust, genocide, reservation, nazi, meet, lay, ve, isn, exist, truly, nature, serve, justice, train, alive, criminal, close"
"system, foster, raise, care, montana, change, matt, try, hill, education, jump, courage, pair, jail, succeed, recently, beyond, generation, worker, train"
"james, tour, andrew, nate, pianist, brandon, province, florida, glimpse, gorgeous, canada, territory, corner, renowned, ambitious, hometown, score, birthday, family, region"
"ancient, monument, build, artifact, technological, egypt, engineering, advanced, amaze, overnight, vehicle, advance, mysteriously, origin, structure, globe, scientific, alien, construction, remarkable"
"bam, build, mainly, elite, southern, station, forget, youth, rest, spirit, five, future, community, hold, hand, plan, documentary, people, try, own"
"fifteen, grow, struggle, documentary, girl, father, simon, inner, protagonist, english, examine, chinese, pressure, overcome, extraordinary, everyday, london, teenage, fast, allow"
"people, defender, famed, guerrilla, counter, painter, indigenous, paint, movement, survivor, picture, forget, voice, suffer, style, th, century, feel, village, interview"
"susan, regard, lover, infatuation, patricia, feminist, provocative, explores, tower, photography, archival, terrorism, icon, critic, influential, passionate, illness, fascinating, material, read"
"water, voice, ocean, hold, sailor, indigenous, prisoner, floor, landscape, english, contain, mile, supernatural, creature, border, humanity, space, mountain, earth, memory"
"wind, energy, farm, stuart, personal, marketing, supporter, atlantic, overnight, advocate, decease, countless, nasty, father, association, opponent, mouth, product, taste, satisfy"
"financial, describe, crisis, lara, rico, sergio, factor, jose, illustrate, reaction, management, proposal, juan, historian, entertain, attorney, victor, opinion, origin, contract"
"matter, dark, scientist, vera, galaxy, coin, visually, hint, stunning, explosion, alongside, exciting, sensitive, universe, collide, exploration, mine, speed, describe, gold"
"basketball, kid, player, port, pierre, au, tall, extremely, prince, capable, education, quest, teenager, top, mean, person, living, star, documentary, learning"
"cyber, diva, collective, fantasy, fan, tokyo, costume, western, player, identity, explore, manga, journey, move, software, obsessive, demonstrate, behavior, popular, term"
"discover, true, visa, miraculously, imminent, departure, scholarship, employment, homeland, desperation, obtain, vacation, pursuit, grant, routine, somehow, access, impossible, french, christmas"
"mexico, luis, transition, democratic, carlos, architect, participant, candidate, campaign, election, economic, movement, president, tour, truly, crisis, term, throughout, original, choose"
"david, own, american, journey, vs, bud, disturbing, brother, untold, ted, gary, punishment, texas, unexpectedly, notorious, sort, bill, trial, california, piece"
"burden, eat, foursome, sake, threatens, hardly, quarter, inhabitant, collective, apparent, guilt, politics, whatever, anger, citizen, decade, individual, sometimes, ten, fellow"
"gypsy, czech, main, month, live, family, tomas, interact, decline, republic, befriend, notorious, anti, birthday, studio, arrival, experiment, celebrate, goal, building"
"com, dot, entrepreneur, lifestyle, business, job, creativity, economy, expensive, winter, maybe, online, discuss, wave, internet, live, technology, dollar, beach, earn"
"north, water, reservation, stand, oil, source, rock, lakota, underneath, directly, protector, billion, alongside, drinking, resistance, transport, oppose, historic, construction, propose"
"world, culture, eye, beautiful, empower, provocative, witty, aesthetic, inquiry, creator, entertain, taste, expression, diverse, celebration, fascinating, attractive, cultural, beauty, host"
"poland, polish, daughter, family, shuttle, husband, neighbour, improve, secure, berlin, abroad, expression, italy, constant, language, financial, accompany, responsibility, weekend, german"
"gay, cuba, performer, respect, community, havana, sack, insightful, preparation, glamorous, status, encourage, drag, creative, paper, fashion, revolution, earn, neighborhood, stage"
"jazz, turkey, project, turkish, history, sincere, interpretation, easily, suppose, development, impact, documentary, process, book, social, music, phase, partially, limited, technical"
"russian, identity, student, amsterdam, discrimination, dutch, dna, diversity, jew, leadership, echo, motion, poignant, adapt, muslim, catholic, pride, jewish, theater, jump"
